"brand","cohort","sex","wt","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"5856",2000,"F",19,1,2,3,4,19,6,7,19,19,19,19,12,19,19,15,19,19,19,19,19,19,19,19,19,19
"5857",2000,"F",13.8,1,19,3,4,19,6,7,8,9,10,11,12,13,14,15,16,17,18,19,18,19,19,19,19,19
"5858",2000,"F",14.2,1,2,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5859",2000,"F",19.2,1,2,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5860",2000,"F",18.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5861",2000,"F",21.2,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5862",2000,"F",18.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5863",2000,"F",21,1,19,3,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5865",2000,"F",13.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5866",2000,"F",19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5867",2000,"F",21.2,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5868",2000,"F",20.4,1,19,3,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5870",2000,"F",19.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5871",2000,"F",14.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5874",2000,"F",14.8,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5875",2000,"F",20.2,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5876",2000,"F",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5877",2000,"F",19.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5880",2000,"F",20,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5881",2000,"F",19.6,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5882",2000,"F",15,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5883",2000,"F",19.6,1,2,3,4,5,6,7,8,9,10,11,19,13,14,19,19,19,19,19,19,19,19,19,19,19
"5884",2000,"F",19,1,19,3,4,5,6,19,19,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5886",2000,"F",23,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5887",2000,"F",19.4,1,2,3,19,5,6,19,8,9,19,19,19,19,14,19,19,19,19,19,19,19,19,19,19,19
"5891",2000,"F",21.2,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5892",2000,"F",17,1,19,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,18,19,19,19,19,19,19
"5893",2000,"F",15.8,1,19,19,19,5,19,7,8,19,19,11,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5894",2000,"F",19,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5895",2000,"F",18,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5897",2000,"F",15,1,2,19,4,19,6,7,8,9,10,11,12,13,14,19,19,19,19,18,19,19,19,19,19,19
"5898",2000,"F",20.4,1,19,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5899",2000,"F",17.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5901",2000,"F",17.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5902",2000,"F",17,1,2,19,19,19,6,7,8,9,10,11,12,13,19,15,16,19,19,19,19,19,19,19,19,19
"5903",2000,"F",18,1,19,19,19,19,6,7,8,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5904",2000,"F",16.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5905",2000,"F",19.8,1,2,19,4,19,19,19,19,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5906",2000,"F",21.2,1,2,19,19,19,19,19,8,19,19,19,12,13,19,19,16,19,19,19,19,19,19,19,19,19
"5907",2000,"F",18.2,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5908",2000,"F",14.6,1,19,19,19,5,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5909",2000,"F",21.8,1,2,19,19,19,6,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5910",2000,"F",18.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5911",2000,"F",15.4,1,2,3,4,19,6,7,8,9,10,19,12,13,14,15,16,17,18,18,18,19,19,19,19,19
"5913",2000,"F",16.6,1,2,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5914",2000,"F",15.2,1,2,3,19,19,6,7,8,9,19,11,12,19,14,15,16,17,18,18,19,19,19,19,19,19
"5916",2000,"F",19.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5918",2000,"F",18.2,1,19,3,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5920",2000,"F",16.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5921",2000,"F",19.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5923",2000,"F",15,1,19,19,19,19,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5924",2000,"F",13.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5925",2000,"F",13,1,19,3,19,5,19,19,8,19,10,11,19,19,14,15,19,19,19,19,19,19,19,19,19,19
"5926",2000,"F",16.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5927",2000,"F",15.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5928",2000,"F",15.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5929",2000,"F",18.5,1,2,3,4,5,6,7,19,9,10,11,12,13,14,15,16,17,18,19,18,19,19,18,19,19
"5932",2000,"F",17.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5934",2000,"F",16.4,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5935",2000,"F",18.2,1,19,3,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5936",2000,"F",19.8,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5938",2000,"F",13.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5942",2000,"F",15.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5943",2000,"F",16.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5944",2000,"F",15.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5945",2000,"F",16.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5946",2000,"F",17.8,1,19,3,19,19,6,19,8,9,10,11,12,13,19,19,19,19,19,19,19,19,19,19,19,19
