"brand","cohort","sex","wt","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"6088",2000,"M",19.4,1,19,3,4,19,6,7,8,9,10,11,12,19,19,19,19,19,19,19,19,19,19,19,19,19
"6091",2000,"M",17.4,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6092",2000,"M",18.6,1,2,19,4,5,19,7,8,19,10,11,19,19,14,15,19,19,19,19,19,19,19,19,19,19
"6094",2000,"M",20.8,1,19,19,4,5,6,7,8,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6097",2000,"M",14.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6098",2000,"M",23.2,1,19,19,19,19,19,19,19,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6099",2000,"M",16.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6100",2000,"M",24.8,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6102",2000,"M",22.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6103",2000,"M",21.4,1,19,19,4,5,19,19,8,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6107",2000,"M",24.4,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6111",2000,"M",17.4,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6112",2000,"M",16.8,1,2,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6113",2000,"M",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6114",2000,"M",22.2,1,19,19,19,19,19,19,19,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6116",2000,"M",21.4,1,2,19,4,5,6,7,8,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6117",2000,"M",12.2,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6118",2000,"M",19.8,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6123",2000,"M",24,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6124",2000,"M",12.2,1,19,3,19,5,6,7,8,9,19,11,12,19,19,19,19,17,19,19,19,19,19,19,19,19
"6127",2000,"M",21.6,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6128",2000,"M",15,1,19,19,4,19,6,7,8,9,10,11,12,13,14,19,19,19,19,19,19,19,19,19,19,19
"6131",2000,"M",18.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6134",2000,"M",20.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6136",2000,"M",18.6,1,19,3,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6138",2000,"M",16.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6143",2000,"M",15.2,1,19,3,4,5,6,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6145",2000,"M",14.4,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6147",2000,"M",18.4,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6150",2000,"M",17.2,1,19,19,4,5,6,7,8,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6151",2000,"M",16.8,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6152",2000,"M",22,1,19,19,19,19,19,19,19,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6153",2000,"M",23.2,1,2,19,19,5,6,7,8,19,19,19,12,13,14,15,16,19,19,19,19,19,19,19,19,19
"6154",2000,"M",19.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6158",2000,"M",17.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6164",2000,"M",17.6,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6168",2001,"M",20.4,19,1,19,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6170",2001,"M",18,19,1,19,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6172",2001,"M",12.2,19,1,2,3,4,5,6,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6173",2001,"M",13.8,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6178",2001,"M",16.2,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6181",2001,"M",14.8,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6183",2001,"M",25,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6184",2001,"M",25.4,19,1,19,3,19,19,19,7,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6186",2001,"M",24.8,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6187",2001,"M",16.2,19,1,19,3,19,19,6,7,8,19,10,11,19,19,19,19,19,19,19,19,19,19,19,19,19
"6189",2001,"M",18.2,19,1,2,19,4,19,6,7,8,9,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6190",2001,"M",17.6,19,1,19,3,19,19,19,19,8,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6191",2001,"M",16,19,1,2,19,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6196",2001,"M",17,19,1,19,3,4,5,6,19,19,19,19,11,19,13,19,19,19,19,19,19,19,19,19,19,19
"6198",2001,"M",18.8,19,1,19,19,19,19,19,19,8,19,10,19,12,19,19,19,19,19,19,19,19,19,19,19,19
"6201",2001,"M",16.4,19,1,2,3,4,19,6,7,8,19,19,19,19,13,19,15,19,19,19,19,19,19,19,19,19
"6204",2001,"M",16.8,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6207",2001,"M",17.2,19,1,19,19,19,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6208",2001,"M",19.4,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6209",2001,"M",16.4,19,1,2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6212",2001,"M",14.6,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6216",2001,"M",15,19,1,2,19,19,19,6,19,19,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6221",2001,"M",18.4,19,1,2,19,4,5,6,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6222",2001,"M",16.8,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6223",2001,"M",20,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6228",2001,"M",22.8,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6229",2001,"M",17.2,19,1,19,19,4,5,6,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6231",2001,"M",14.2,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6232",2001,"M",16,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6236",2001,"M",21,19,1,19,19,4,5,6,7,8,9,10,19,12,19,19,19,19,19,19,19,19,19,19,19,19
"6237",2001,"M",15.8,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6238",2001,"M",20.8,19,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"6239",2001,"M",20.4,19,1,2,3,4,5,6,7,19,9,10,11,12,13,14,15,19,19,19,19,19,19,19,19,19
